数据库：年度数据 
时间： 
指标	,2020年	,
人口普查总人口 (万人) 	,141177.87	,
人口普查男性人口数 (万人) 	,72334.00	,
人口普查女性人口数 (万人) 	,68844.00	,
人口普查性别比 (女=100) 	,105.07	,
人口普查城镇人口数 (万人) 	,90199.00	,
人口普查乡村人口数 (万人) 	,50979.00	,
人口普查家庭户规模 (人/户) 	,2.62	,
人口普查0-14岁人口占总人口比重 (%) 	,18.0	,
人口普查15-64岁人口占总人口比重 (%) 	,68.6	,
人口普查65岁及以上人口占总人口比重 (%) 	,13.5	,
人口普查汉族人口数 (万人) 	,128631.00	,
人口普查汉族占总人口比重 (%) 	,91.1	,
人口普查少数民族人口数 (万人) 	,12547.00	,
人口普查少数民族占总人口比重 (%) 	,8.9	,
人口普查每十万人口中受大专及以上教育人口数 (人) 	,15467	,
人口普查每十万人口中受高中和中专教育人口数 (人) 	,15088	,
人口普查每十万人口中受初中教育人口数 (人) 	,34507	,
人口普查每十万人口中受小学教育人口数 (人) 	,24767	,
人口普查文盲人口数 (万人) 	,3775.00	,
人口普查文盲率 (%) 	,2.7	,
人口普查城镇化率 (%) 	,63.9	,
数据来源：国家统计局
